date,open,high,low,close,volume,SMA_10,SMA_50,EMA_10,EMA_50,EMA_12,EMA_26,MACD,Signal_Line,RSI,High_Low,High_Close,Low_Close,TR,+DM,-DM,TR_14,+DI_14,-DI_14,DX,ADX
2024-10-04,23.0,23.39,22.61,22.89,9729249.0,25.629,31.3998,25.23337575548934,30.257495614120195,25.496803312514682,27.352627325248005,-1.855824012733322,-1.8390867986793333,21.773142112125143,0.7800000000000011,0.07000000000000028,0.7100000000000009,0.7800000000000011,0.0,0.0,1.3236857142857141,1.9620540050508224,8.169828832912447,61.26970600766959,50.898380632883494
2024-10-03,22.464,22.7092,22.05,22.43,7145969.0,25.240000000000002,31.0444,24.723671072673095,29.950535001801757,25.024987418281654,26.98798826411852,-1.9630008458368664,-1.8638696081108401,21.94480946123521,0.6591999999999985,0.1808000000000014,0.8399999999999999,0.8399999999999999,0.0,0.0,1.3047142857142855,1.6861929267491316,8.288623672396819,66.19099890230555,53.0311366336331
2024-10-02,22.42,23.18,22.33,22.63,12009725.0,24.81,30.7104,24.343003604914347,29.663455197809533,24.656527815469094,26.66517431862826,-2.0086465031591665,-1.8928249871205054,16.338028169014052,0.8500000000000014,0.75,0.10000000000000142,0.8500000000000014,0.47080000000000055,0.0,1.301142857142857,4.275362318840563,5.346947738252108,11.136467366499705,51.37224213693459
2024-10-01,23.4,23.46,22.28,22.33,11467433.0,24.363,30.400199999999995,23.977002949475374,29.375868719464062,24.298600459243076,26.344050295026168,-2.045449835783092,-1.9233499568530228,16.66666666666663,1.1799999999999997,0.8300000000000018,0.34999999999999787,1.1799999999999997,0.28000000000000114,0.0,1.2975714285714284,5.828470769569515,5.361664648243994,4.171585989767519,49.21585611332664
2024-09-30,23.97,24.13,23.08,23.42,10117414.0,24.005,30.121399999999998,23.875729685934395,29.142305240269394,24.163431157821066,26.127453976876083,-1.9640228190550175,-1.931484529293422,28.44500632111253,1.0500000000000007,1.8000000000000007,0.75,1.8000000000000007,0.0,0.7999999999999972,1.381857142857143,5.472965987801085,7.929287708053338,18.327676643011475,47.92387257276839
2024-09-27,22.55,23.98,22.4112,23.89,18021320.0,23.767000000000003,29.808400000000002,23.878324288491775,28.936332485749027,24.121364825848595,25.961716645255635,-1.84035181940704,-1.9132579873161457,34.561626429479034,1.5687999999999995,0.5599999999999987,1.0088000000000008,1.5687999999999995,0.0,0.0,1.4229142857142858,5.114252439661052,7.700493956066016,20.181761203384543,46.78967246569382
2024-09-26,22.78,22.88,22.19,22.43,9350659.0,23.46,29.423599999999997,23.614992599675087,28.681182192190242,23.86115485264112,25.700108004866326,-1.838953152225205,-1.8983970202979576,24.19724770642202,0.6899999999999977,1.0100000000000016,1.6999999999999993,1.6999999999999993,0.0,0.0,1.4834857142857143,4.905435075690453,5.0797349870960105,1.7455878098176079,44.07073593167059
2024-09-25,22.58,22.82,22.335,22.39,4989415.0,23.134,29.093000000000004,23.39226667246143,28.434469165045527,23.63482333685018,25.454914819320674,-1.8200914824704952,-1.8827359127324652,24.449594438006955,0.48499999999999943,0.39000000000000057,0.09499999999999886,0.48499999999999943,0.0,0.14499999999999957,1.4163428571428571,4.3411603324457415,6.051803437424331,16.45962732919231,42.59233766307528
2024-09-24,22.68,22.85,22.2523,22.77,7446081.0,22.85,28.7484,23.279127277468444,28.21233311935747,23.50177359271938,25.256032240111736,-1.754258647392355,-1.8570404596644432,25.993189557321216,0.5976999999999997,0.46000000000000085,0.13769999999999882,0.5976999999999997,0.030000000000001137,0.0,1.3890357142857144,4.5807728897230975,4.85948628287865,2.9523913280310774,40.01572773218509
2024-09-23,22.782,23.325,22.6234,22.7,11694162.0,22.788,28.4296,23.173831408837813,27.99616319310816,23.37842380922409,25.066696518621978,-1.6882727093978893,-1.8232869096111326,28.098159509202446,0.7015999999999991,0.5549999999999997,0.1465999999999994,0.7015999999999991,0.47499999999999787,0.0,1.3455785714285715,7.250200391759254,5.016429470063312,18.210143673186938,34.75626351042157
